keys,ko,en
UNIT_HUM_SWORD,검사,Swordsman
UNIT_HUM_ARCHER,궁병,Archer
UNIT_HUM_MAGE,마법사,Mage
UNIT_HUM_PRINCE,왕자,Prince
UNIT_DE_ASSASSIN,암살자,Assassin
UNIT_DE_SWORD,검사,Swordsman
UNIT_DE_WIZARD,마법사,Wizard
UNIT_DE_WARRIOR,전사,Warrior
UNIT_DE_ARCHER,궁수,Archer
UNIT_DE_BALLISTA,발리스타,Ballista
UNIT_UD_DREADKNIGHT,드레드나이트,Dread Knight
UNIT_UD_LICH,리치,Lich
UNIT_UD_NECROMANCER,네크로맨서,Necromancer
UNIT_UD_REAPER,사신,Reaper
UNIT_UD_SKELARCHER,해골궁수,Skeleton Archer
UNIT_UD_BUTCHER,좀비도살자,Zombie Butcher
UNIT_BM_FOX,여우 검사,Fox Swordsman
UNIT_BM_CAT,고양이 도적,Cat Robber
UNIT_BM_DEER,사슴 드루이드,Deer Druid
UNIT_BM_LION,사자 기사,Lion Knight
UNIT_BM_PANDA,판다 전사,Panda Warrior
UNIT_BM_RABBIT,토끼 마법사,Rabbit Wizard
UNIT_VK_BERSERKER,광전사,Berserker
UNIT_VK_JARL,수장,Jarl
UNIT_DM_FIREKEEPER,불지기,Fire Keeper
UNIT_DM_LORD,악마군주,Demon Lord
UNIT_DM_DEMONESS,여악마,Demoness
UNIT_DM_FIREIMP,화염 임프,Fire Imp
UNIT_DM_HIGH,상급 악마,High Demon
UNIT_DM_SUCCUBUS,서큐버스,Succubus
SKILL_HUM_ARCHER,속사,Rapid Volley
SKILL_HUM_ARCHER_DESC,크리티컬이 터지면 잠시 공격속도가 빨라진다,On critical hit briefly increases attack speed
SKILL_HUM_MAGE,연쇄 낙뢰,Chain Lightning
SKILL_VK_BERSERKER,광란,Frenzy
SKILL_VK_BERSERKER_DESC,발동하면 잠시 공격 주기가 빨라진다,Attack period speeds up for a short time
SKILL_HUM_PRINCE,왕가의 축복,Royal Blessing
SKILL_HUM_PRINCE_DESC,랜덤 부대 하나에 타격당 붙는 고정 공격력을 잠시 부여한다,Temporarily grants a random squad flat damage per hit
SKILL_VK_JARL,전투 함성,Battle Cry
SKILL_VK_JARL_DESC,인접 부대들의 사기를 올린다,Raises the morale of adjacent squads
SKILL_DE_SWORD,연격,Twin Strike
SKILL_DE_SWORD_DESC,발동 시 그 박자의 타격 판정을 한 번 더 낸다,Occasionally strikes twice in a single beat
SKILL_DE_ARCHER,깊은 일격,Deep Strike
SKILL_DE_ARCHER_DESC,크리티컬이 더 깊게 박힌다 — 크리 피해 배율이 추가로 커진다,Critical hits strike deeper — bonus critical damage multiplier
SKILL_DE_ASSASSIN,급소 찌르기,Vital Strike
SKILL_DE_ASSASSIN_DESC,보스에게 취약을 건다 — 받는 피해가 늘어난다,Inflicts Vulnerable — the boss takes increased damage
SKILL_DE_WIZARD,맹독 구름,Venom Cloud
SKILL_DE_WIZARD_DESC,캐스팅 후 독 원소 피해를 입힌다,"After casting, deals poison elemental damage"
SKILL_UD_DREADKNIGHT,망령 검격,Wraith Slash
SKILL_UD_DREADKNIGHT_DESC,발동하면 다음 타격이 냉기 마법 피해로 나간다,The next strike deals cold magic damage instead of physical
SKILL_UD_LICH,죽음의 서리,Death Frost
