unit_id,faction,job,sprite_entry,element,crew,attack_period,attack_power,name_key
U_HUM_SWORD,인간,소드마스터,MiniSwordMan,,9,,,UNIT_HUM_SWORD
U_HUM_ARCHER,인간,궁수,MiniArcherMan,,9,,,UNIT_HUM_ARCHER
U_HUM_MAGE,인간,마법사,MiniMage,번개,9,,,UNIT_HUM_MAGE
U_HUM_PRINCE,인간,사제,MiniPrinceMan,,9,,,UNIT_HUM_PRINCE
U_DE_ASSASSIN,다크엘프,암살자,MiniDarkElfAssassin,,3,,,UNIT_DE_ASSASSIN
U_DE_SWORD,다크엘프,소드마스터,MiniDarkElfSwordsman,,3,,,UNIT_DE_SWORD
U_DE_WIZARD,다크엘프,마법사,MiniDarkElfWizard,독,3,,,UNIT_DE_WIZARD
U_DE_WARRIOR,다크엘프,전사,MiniDarkElfWarrior,,9,,,UNIT_DE_WARRIOR
U_DE_ARCHER,다크엘프,궁수,MiniDarkElfArcher,,3,,,UNIT_DE_ARCHER
U_DE_BALLISTA,다크엘프,리더,MiniBallista,,1,,,UNIT_DE_BALLISTA
U_UD_DREADKNIGHT,언데드,소드마스터,MiniDreadKnight,냉기,9,,,UNIT_UD_DREADKNIGHT
U_UD_LICH,언데드,마법사,MiniLich,냉기,3,,,UNIT_UD_LICH
U_UD_NECROMANCER,언데드,사제,MiniNecromancer,,9,,,UNIT_UD_NECROMANCER
U_UD_REAPER,언데드,암살자,MiniReaper,,3,,,UNIT_UD_REAPER
U_UD_SKELARCHER,언데드,궁수,MiniSkeletonArcher,,9,,,UNIT_UD_SKELARCHER
U_UD_BUTCHER,언데드,리더,MiniZombieButcher,,1,,,UNIT_UD_BUTCHER
U_BM_FOX,수인족,소드마스터,MiniFoxSwordsman,,3,,,UNIT_BM_FOX
U_BM_CAT,수인족,암살자,MiniCatRobber,,3,,,UNIT_BM_CAT
U_BM_DEER,수인족,사제,MiniDeerDruid,,9,,,UNIT_BM_DEER
U_BM_LION,수인족,리더,MiniLionKnight,,1,,,UNIT_BM_LION
U_BM_PANDA,수인족,전사,MiniPandaWarrior,,3,,,UNIT_BM_PANDA
U_BM_RABBIT,수인족,마법사,MiniRabbitWizard,랜덤,3,,,UNIT_BM_RABBIT
U_VK_BERSERKER,인간,전사,MiniVikingBerserker,,3,,,UNIT_VK_BERSERKER
U_VK_JARL,인간,리더,MiniVikingJarl,,1,,,UNIT_VK_JARL
U_DM_FIREKEEPER,악마,마법사,MiniDemonFireKeeper,화염,3,,,UNIT_DM_FIREKEEPER
U_DM_LORD,악마,리더,MiniDemonLord,,1,,,UNIT_DM_LORD
U_DM_DEMONESS,악마,사제,MiniDemoness,,3,,,UNIT_DM_DEMONESS
U_DM_FIREIMP,악마,궁수,MiniFireImp,,9,,,UNIT_DM_FIREIMP
U_DM_HIGH,악마,전사,MiniHighDemon,,1,,,UNIT_DM_HIGH
U_DM_SUCCUBUS,악마,암살자,MiniSuccubus,,9,,,UNIT_DM_SUCCUBUS
